127.0.0.1, 2018-10-22 16:22:47, GET, /CMPS183_HW2/default/add, HTTP/1.1, 303, 0.011256
127.0.0.1, 2018-10-22 16:22:47, GET, /CMPS183_HW2/default/user/login, HTTP/1.1, 200, 0.020223
127.0.0.1, 2018-10-22 16:22:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2018-10-22 16:22:54, GET, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.033404
127.0.0.1, 2018-10-22 16:22:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2018-10-22 16:23:14, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.163791
127.0.0.1, 2018-10-22 16:23:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2018-10-22 16:23:43, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-22.16-23-14.2cf1fbfb-2fb3-4621-b321-64d3d996da38, HTTP/1.1, 200, 0.065717
127.0.0.1, 2018-10-22 16:23:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2018-10-22 16:24:07, GET, /CMPS183_HW2/default/index, HTTP/1.1, 200, 0.016988
127.0.0.1, 2018-10-22 16:24:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2018-10-22 16:24:09, GET, /CMPS183_HW2/default/add, HTTP/1.1, 303, 0.011147
127.0.0.1, 2018-10-22 16:24:09, GET, /CMPS183_HW2/default/user/login, HTTP/1.1, 200, 0.019051
127.0.0.1, 2018-10-22 16:24:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2018-10-22 16:24:12, GET, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.022001
127.0.0.1, 2018-10-22 16:24:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000438
127.0.0.1, 2018-10-22 16:24:25, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.047197
127.0.0.1, 2018-10-22 16:24:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2018-10-22 16:24:40, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-22.16-24-25.c61aefa6-770b-4549-9775-b0e84639bca1, HTTP/1.1, 200, 0.046668
127.0.0.1, 2018-10-22 16:24:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2018-10-22 16:33:40, GET, /, HTTP/1.1, 303, 0.004809
127.0.0.1, 2018-10-22 16:33:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.150927
127.0.0.1, 2018-10-22 16:33:47, GET, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.198321
127.0.0.1, 2018-10-22 16:33:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2018-10-22 16:33:50, GET, /CMPS183_HW2/, HTTP/1.1, 500, 0.022076
127.0.0.1, 2018-10-22 16:33:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2018-10-22 16:33:52, GET, /CMPS183_HW2/, HTTP/1.1, 500, 0.024470
127.0.0.1, 2018-10-22 16:33:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
